env,lr,discount,epsilon,min_eps,states_size,episodes,monitor_reward_eps,display,img_folder,seed,duration_sec,last_reward,mean_rewards
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.8,0.1,"[5, 50]",5000,10,False,imgs,2019,22.12292075157165,-200.0,-199.9154
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.8,0.1,"[10, 100]",5000,10,False,imgs,2019,22.05203890800476,-188.6,-199.487
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.8,0.1,"[15, 80]",5000,10,False,imgs,2019,22.099913597106934,-188.3,-199.72
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.8,0.1,"[10, 200]",5000,10,False,imgs,2019,22.068562746047974,-190.2,-198.756
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.9,0.0,"[5, 50]",5000,10,False,imgs,2019,22.109302520751953,-200.0,-199.9478
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.9,0.0,"[10, 100]",5000,10,False,imgs,2019,22.814414501190186,-181.2,-197.9336
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.9,0.0,"[15, 80]",5000,10,False,imgs,2019,22.20709204673767,-153.3,-198.4818
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.9,0.0,"[10, 200]",5000,10,False,imgs,2019,22.22316837310791,-182.9,-198.1432
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.9,0.1,"[5, 50]",5000,10,False,imgs,2019,22.21276330947876,-200.0,-200.0
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.9,0.1,"[10, 100]",5000,10,False,imgs,2019,22.157846450805664,-200.0,-199.291
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.9,0.1,"[15, 80]",5000,10,False,imgs,2019,21.931609869003296,-189.5,-199.5894
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.9,0.1,"[10, 200]",5000,10,False,imgs,2019,22.074946403503414,-196.7,-198.9492
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.99,0.0,"[5, 50]",5000,10,False,imgs,2019,21.890601396560672,-199.3,-199.8326
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.99,0.0,"[10, 100]",5000,10,False,imgs,2019,21.90708422660828,-191.9,-199.135
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.99,0.0,"[15, 80]",5000,10,False,imgs,2019,21.947720766067505,-168.6,-198.947
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.99,0.0,"[10, 200]",5000,10,False,imgs,2019,21.78565216064453,-178.8,-198.1724
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.99,0.1,"[5, 50]",5000,10,False,imgs,2019,21.713559865951535,-200.0,-199.99900000000002
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.99,0.1,"[10, 100]",5000,10,False,imgs,2019,22.047741413116455,-186.3,-199.5538
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.99,0.1,"[15, 80]",5000,10,False,imgs,2019,22.04451012611389,-200.0,-199.7732
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.9,0.99,0.1,"[10, 200]",5000,10,False,imgs,2019,21.57945442199707,-184.8,-199.333
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.8,0.0,"[5, 50]",5000,10,False,imgs,2019,22.578754425048828,-173.5,-199.2138
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.8,0.0,"[10, 100]",5000,10,False,imgs,2019,21.80599045753479,-174.1,-194.9542
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.8,0.0,"[15, 80]",5000,10,False,imgs,2019,22.541808366775516,-151.9,-196.8746
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.8,0.0,"[10, 200]",5000,10,False,imgs,2019,22.26644730567932,-158.4,-195.3276
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.8,0.1,"[5, 50]",5000,10,False,imgs,2019,22.183563709259033,-200.0,-199.981
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.8,0.1,"[10, 100]",5000,10,False,imgs,2019,22.021551847457886,-200.0,-198.5034
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.8,0.1,"[15, 80]",5000,10,False,imgs,2019,22.464633464813232,-198.7,-199.3634
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.8,0.1,"[10, 200]",5000,10,False,imgs,2019,22.092988967895508,-176.0,-198.3582
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.9,0.0,"[5, 50]",5000,10,False,imgs,2019,22.097403526306152,-194.5,-199.8668
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.9,0.0,"[10, 100]",5000,10,False,imgs,2019,22.008838653564453,-166.0,-196.5734
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.9,0.0,"[15, 80]",5000,10,False,imgs,2019,22.427629232406613,-157.6,-197.8482
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.9,0.0,"[10, 200]",5000,10,False,imgs,2019,22.122273921966553,-195.2,-196.53
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.9,0.1,"[5, 50]",5000,10,False,imgs,2019,22.3588182926178,-200.0,-199.989
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.9,0.1,"[10, 100]",5000,10,False,imgs,2019,22.12540507316589,-198.8,-198.901
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.9,0.1,"[15, 80]",5000,10,False,imgs,2019,21.7968807220459,-191.6,-199.183
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.9,0.1,"[10, 200]",5000,10,False,imgs,2019,21.6421639919281,-190.2,-198.395
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.99,0.0,"[5, 50]",5000,10,False,imgs,2019,21.624351263046265,-200.0,-199.4084
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.99,0.0,"[10, 100]",5000,10,False,imgs,2019,21.400303363800045,-145.4,-196.5034
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.99,0.0,"[15, 80]",5000,10,False,imgs,2019,21.493152379989624,-190.3,-197.4724
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.99,0.0,"[10, 200]",5000,10,False,imgs,2019,21.553846836090088,-200.0,-197.4842
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.99,0.1,"[5, 50]",5000,10,False,imgs,2019,21.768110752105713,-200.0,-199.9842
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.99,0.1,"[10, 100]",5000,10,False,imgs,2019,21.590203285217285,-191.8,-199.1472
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.99,0.1,"[15, 80]",5000,10,False,imgs,2019,21.63599681854248,-188.5,-199.334
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.2,0.99,0.99,0.1,"[10, 200]",5000,10,False,imgs,2019,21.63179707527161,-176.8,-198.6362
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.8,0.0,"[5, 50]",5000,10,False,imgs,2019,22.15773296356201,-199.7,-199.8718
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.8,0.0,"[10, 100]",5000,10,False,imgs,2019,21.989404439926147,-159.9,-198.0246
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.8,0.0,"[15, 80]",5000,10,False,imgs,2019,22.101462841033936,-187.8,-198.9668
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.8,0.0,"[10, 200]",5000,10,False,imgs,2019,22.124863624572754,-170.0,-198.4678
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.8,0.1,"[5, 50]",5000,10,False,imgs,2019,22.15982985496521,-200.0,-199.9902
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.8,0.1,"[10, 100]",5000,10,False,imgs,2019,22.16460347175598,-188.6,-199.7106
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.8,0.1,"[15, 80]",5000,10,False,imgs,2019,22.142907857894894,-198.7,-199.8424
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.8,0.1,"[10, 200]",5000,10,False,imgs,2019,22.14168643951416,-198.5,-199.1824
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.9,0.0,"[5, 50]",5000,10,False,imgs,2019,21.94844913482666,-200.0,-199.6352
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.9,0.0,"[10, 100]",5000,10,False,imgs,2019,21.928602933883667,-185.0,-198.3092
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.9,0.0,"[15, 80]",5000,10,False,imgs,2019,21.91541814804077,-164.4,-199.1394
<TimeLimit<MountainCarEnv<MountainCar-v0>>>,0.25,0.9,0.9,0.0,"[10, 200]",5000,10,False,imgs,2019,21.84333562850952,-167.7,-198.469
